Time,LeftTorque,LeftVelocity
59.025933,-0.149492,-272.480803
59.026933,-0.167018,-268.082573
59.027914,-0.188624,-276.564873
59.028933,-0.210898,-275.517676
59.029933,-0.245416,-277.088472
59.030933,-0.256572,-285.570772
59.031914,-0.271733,-282.743339
59.032933,-0.29496,-288.921804
59.033933,-0.28718,-293.948353
59.034933,-0.272457,-294.576671
59.035914,-0.298145,-300.440977
59.036933,-0.275013,-305.362806
59.037933,-0.271332,-308.399679
59.038933,-0.296791,-310.598794
59.039915,-0.29353,-320.023572
59.040933,-0.294979,-322.432126
59.041933,-0.274879,-322.641566
59.042933,-0.291375,-332.485223
59.043915,-0.2966,-334.893777
59.044933,-0.287523,-336.464573
59.045933,-0.286474,-345.365752
59.046933,-0.289945,-344.318555
59.047914,-0.314317,-349.135664
59.048933,-0.284586,-355.733008
59.049933,-0.30419,-359.18876
59.050933,-0.27814,-364.948347
59.051915,-0.30583,-365.157786
59.052933,-0.287885,-369.032417
59.053933,-0.322174,-376.572239
59.054933,-0.288229,-382.436546
59.055915,-0.295857,-388.196132
59.056933,-0.302569,-391.233005
59.057933,-0.277702,-393.43212
59.058933,-0.293854,-394.898197
59.059915,-0.307432,-399.086987
59.060933,-0.302932,-405.684331
59.061934,-0.291718,-410.71088
59.062933,-0.298717,-416.156307
59.063916,-0.305258,-421.287575
59.064933,-0.315861,-424.533887
59.065933,-0.313859,-427.989639
59.066933,-0.314889,-433.330347
59.067914,-0.310655,-435.529462
59.068933,-0.310407,-443.802322
59.069933,-0.315613,-449.03831
59.070933,-0.31487,-454.379017
59.071915,-0.315385,-458.253648
59.072933,-0.305735,-462.232999
59.073933,-0.297535,-466.21235
59.074933,-0.29538,-469.458662
59.075916,-0.305277,-470.29642
59.076933,-0.291947,-476.684325
59.077932,-0.276462,-480.454236
59.078931,-0.294598,-484.957186
59.079914,-0.295933,-492.706448
59.080931,-0.287962,-496.790518
59.081931,-0.313439,-501.398188
59.082931,-0.30337,-505.586978
59.083913,-0.300567,-508.414411
59.084931,-0.295208,-510.613526
59.085932,-0.287122,-514.802316
59.086933,-0.288419,-520.247743
59.087915,-0.306765,-526.426209
59.088933,-0.294407,-531.452757
59.089933,-0.303065,-533.861312
59.090933,-0.283041,-536.479305
